1.7,0.1547,0.22,0.15,0.1633,0,0.16,0.99,132.96,135.38,79.53
1.72,0.1561,0.22,0.15,0.1599,0,0.16,1.89,133.44,139.58,73.99
1.73,0.1574,0.22,0.15,0.1565,0,0.15,2.83,133.88,143.53,68.48
1.75,0.1588,0.22,0.15,0.1531,0,0.15,3.78,134.29,147.21,63.06
1.77,0.1601,0.22,0.15,0.1497,0,0.15,4.76,134.67,150.58,57.78
1.78,0.1615,0.22,0.16,0.1463,0,0.14,5.76,135.01,153.62,52.7
1.8,0.1629,0.22,0.16,0.1429,0,0.14,6.77,135.32,156.31,47.87
1.82,0.1642,0.22,0.16,0.1395,0,0.14,7.8,135.6,158.64,43.32
1.84,0.1656,0.22,0.16,0.1361,0,0.13,8.85,135.86,160.61,39.07
1.85,0.1669,0.22,0.16,0.1327,0,0.13,9.9,136.09,162.23,35.14
1.87,0.1683,0.22,0.17,0.1293,0,0.13,10.96,136.29,163.51,31.54
1.89,0.1697,0.22,0.17,0.1259,0,0.12,12.03,136.47,164.46,28.27
1.9,0.1710,0.22,0.17,0.1224,0,0.12,13.1,136.64,165.11,25.32
1.92,0.1724,0.22,0.17,0.1190,0,0.12,14.18,136.79,165.49,22.67
1.94,0.1737,0.22,0.17,0.1156,0,0.11,15.25,136.92,165.62,20.3
1.95,0.1751,0.22,0.17,0.1122,0,0.11,16.33,137.04,165.52,18.19
1.97,0.1765,0.22,0.18,0.1088,0,0.11,17.4,137.14,165.25,16.3
1.99,0.1778,0.22,0.18,0.1054,0,0.1,18.47,137.24,164.82,14.6
2.01,0.1792,0.22,0.18,0.1020,0,0.1,19.54,137.32,164.26,13.05
2.02,0.1805,0.22,0.18,0.0986,0,0.1,20.6,137.4,163.6,11.61
2.04,0.1819,0.22,0.18,0.0952,0,0.09,21.66,137.46,162.88,10.25
2.06,0.1833,0.22,0.18,0.0918,0,0.09,22.71,137.52,162.11,8.91
2.07,0.1846,0.22,0.18,0.0884,0,0.09,23.76,137.57,161.32,7.57
2.09,0.1860,0.22,0.19,0.0850,0,0.08,24.8,137.61,160.52,6.19
2.11,0.1873,0.22,0.19,0.0816,0,0.08,25.84,137.64,159.73,4.73
2.12,0.1887,0.22,0.19,0.0782,0,0.07,26.87,137.66,158.96,3.17
2.14,0.1901,0.22,0.19,0.0748,0,0.07,27.89,137.67,158.22,1.49
2.16,0.1914,0.22,0.19,0.0714,0,0.07,28.92,137.67,157.5,-0.33
2.18,0.1928,0.22,0.19,0.0680,0,0.06,29.94,137.65,156.81,-2.32
2.19,0.1941,0.22,0.19,0.0646,0,0.06,30.95,137.62,156.15,-4.48
2.21,0.1955,0.22,0.2,0.0612,0,0.06,31.96,137.58,155.51,-6.81
2.23,0.1969,0.22,0.2,0.0578,0,0.05,32.97,137.52,154.89,-9.32
2.24,0.1982,0.22,0.2,0.0544,0,0.05,33.97,137.44,154.27,-12.01
2.26,0.1996,0.22,0.2,0.0510,0,0.05,34.96,137.35,153.64,-14.86
2.28,0.2010,0.22,0.2,0.0476,0,0.04,35.96,137.23,152.99,-17.86
2.29,0.2023,0.22,0.2,0.0442,0,0.04,36.95,137.09,152.31,-21
2.31,0.2037,0.22,0.2,0.0408,0,0.04,37.93,136.94,151.59,-24.26
2.33,0.2050,0.22,0.2,0.0374,0,0.03,38.91,136.76,150.82,-27.63
2.35,0.2064,0.22,0.2,0.0340,0,0.03,39.88,136.55,149.99,-31.06
2.36,0.2078,0.22,0.21,0.0306,0,0.03,40.85,136.33,149.09,-34.56
2.38,0.2091,0.22,0.21,0.0272,0,0.02,41.81,136.08,148.11,-38.08
2.4,0.2105,0.22,0.21,0.0238,0,0.02,42.77,135.81,147.05,-41.6
2.41,0.2118,0.22,0.21,0.0204,0,0.02,43.72,135.52,145.91,-45.11
2.43,0.2132,0.22,0.21,0.0170,0,0.01,44.66,135.2,144.69,-48.57
